Question,A,B,C,D,Ans
Which one is based on the principle of electromagnetic induction?,Electric motor,Deccreate, Remain unchanged,Deccreate abnormally,A
A numeric data analysis tool that allows us to create a computerized ledger,Word processing package,Spreadsheet package,Graphics package,Mathematical Package,B
"If the sizes of charged bodies are very small compared to the distances between them, we treat them as",Zero charges,Point charges,Single charge,No charges,B
What is the dielectric constant of a metal?,-1,0,1,infinite,D
The quantisation of charge indicates that,"Charge, which is a fraction of charge on an electron, is not possible",A charge cannot be destroyed,Charge exists on particles,There exists a minimum permissible charge on a particle,A
"————— gives the information on field strength, direction, and nature of the charge.",Electric current,Electric flux,Electric field,Electric potential,C
What happens when a glass rod is rubbed with silk?,gains protons from silk,gains electrons from silk,gives electrons to silk,gives protons to silk,B
The electrostatic potential on the perpendicular bisector due to an electric dipole is,Zero,1,infinite,negetive,A
The formula for electrostatic potential is _____________.,Electrostatic potential = Work done*charge,Electrostatic potential = Work done/charge,Electrostatic potential = Work done+charge,Electrostatic potential = Work done-charge,B
Electrostatic potential = Work done-charge,Always 1,Infinite,Zero,Negative,C
A surface that has the same electrostatic potential at every point on it is known as _____________.,Equal-potential surface,Same potential surface,Equi-magnitude surface,Equipotential surface,D